target_column,target_data_type,pk_fk,source_file(s),source_column,source_data_type,transformation,notes / business rule
shipping_country_code,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Shipping: Country Code,text (cat),Direct copy.,ISO country code companion to Shipping: Country.
browser_user_agent,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: User Agent,text,Direct copy.,Device/browser string. POS orders show Shopify POS user agent.
browser_landing_page,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: Landing Page,text,Direct copy.,First page URL in session. Often null.
browser_referrer,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: Referrer,text,Direct copy.,Full referrer URL. Often null.
browser_referrer_domain,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: Referrer Domain,text,Direct copy.,Loaded to orders.parquet when present.
browser_ad_url,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: Ad URL,decimal,Direct copy.,Click/ad destination URL. Often null.
browser_utm_source,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: UTM Source,text,Direct copy; used in classify_channel() when present.,~5% populated. Primary paid/organic attribution when available.
browser_utm_medium,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: UTM Medium,text,Direct copy.,Companion to Browser: UTM Source.
browser_utm_campaign,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: UTM Campaign,text,Direct copy.,Campaign name string.
browser_utm_content,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Browser: UTM Content,text,Direct copy.,Ad/content variant within campaign.
top_row,INT,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Top Row,bool/int flag,Direct copy; filter Top Row = 1 for order-level table.,"Shopify export flag: 1 = order header row, 0 = additional line/shipping rows."
line_type,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Type,text,Direct copy; filter Line: Type = Line Item for line-item table.,"Values include Line Item, Shipping, Discount, etc."
line_id,STRING (id),PK (line-level when Line: Type = Line Item),1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: ID,id (13-digit),Direct copy; cast STRING; filter Line: Type = Line Item.,Line-level PK for product analysis.
line_product_id,STRING (id),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Product ID,id (13-digit),Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~68% null in combined export. Included in STTM for completeness (may be empty).
line_product_handle,STRING,FK -> products.Handle,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Product Handle,text,Direct copy; filter Line: Type = Line Item.,Product slug; join key to products_master.Handle. Used for product_category derivation.
line_title,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Title,text,Direct copy.,Product display name on line row.
line_name,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Name,text,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~11% null in combined export. Included in STTM for completeness (may be empty).
line_variant_id,STRING (id),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant ID,id (13-digit),Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~68% null in combined export. Included in STTM for completeness (may be empty).
line_variant_title,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant Title,decimal,Direct copy.,Flavor/pack-size label — use for SKU/flavor-level analysis.
line_sku,STRING,FK -> products.Variant SKU,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: SKU,text,Direct copy; cast STRING preserve leading zeros.,Variant SKU; join key to products_master.Variant SKU.
line_quantity,INT,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Quantity,int,Cast INT.,Units purchased on line.
line_price,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Price,decimal,Numeric cast; multiply by FX rate in pipeline.,Unit price before line discount (SGD in parquet).
line_discount,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Discount,decimal,Numeric cast; fill null->0; multiply by FX rate.,Line-level discount amount (SGD in lines.parquet).
line_discount_allocation,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Discount Allocation,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~33% null in combined export. Included in STTM for completeness (may be empty).
line_discount_per_item,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Discount per Item,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~33% null in combined export. Included in STTM for completeness (may be empty).
line_total,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Total,decimal,Numeric cast; multiply by FX rate.,Line revenue after discount (SGD in lines.parquet). Primary revenue field for SKU analysis.
line_grams,INT,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Grams,int,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~33% null in combined export. Included in STTM for completeness (may be empty).
line_requires_shipping,BOOL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Requires Shipping,bool/int flag,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~33% null in combined export. Included in STTM for completeness (may be empty).
line_vendor,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Vendor,text,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~63% null in combined export. Included in STTM for completeness (may be empty).
line_gift_card,BOOL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Gift Card,bool/int flag,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~33% null in combined export. Included in STTM for completeness (may be empty).
line_variant_sku,DECIMAL,FK -> products.Variant SKU,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant SKU,decimal,Direct copy; cast STRING.,Duplicate/alternate SKU field on some rows; prefer Line: SKU when both present.
line_variant_barcode,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant Barcode,text,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~76% null in combined export. Included in STTM for completeness (may be empty).
line_variant_weight,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant Weight,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~76% null in combined export. Included in STTM for completeness (may be empty).
line_variant_weight_unit,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant Weight Unit,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~76% null in combined export. Included in STTM for completeness (may be empty).
line_variant_inventory_qty,INT,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant Inventory Qty,int,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~76% null in combined export. Included in STTM for completeness (may be empty).
line_variant_cost,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant Cost,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~76% null in combined export. Included in STTM for completeness (may be empty).
line_variant_price,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant Price,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~76% null in combined export. Included in STTM for completeness (may be empty).
line_variant_compare_at_price,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Variant Compare At Price,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,line-level (Line: Type = Line Item). ~99% null in combined export. Included in STTM for completeness (may be empty).
,,,,,,,
order_date,DATETIME,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Processed At (derived),datetime+tz,Parse UTC; convert to Asia/Singapore; normalize to date.,Derived in 01_load_and_merge.py. Analytical order date — not a raw export column.
store,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Name (derived),text,"CASE WHEN Name starts LPMY->MY, LPHK->HK, LPSG/LP->SG ELSE Other.",Derived market code — not in raw export. Required for FX conversion.
channel,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Tags + Browser: UTM Source + Name (derived),text,classify_channel() in 00_config.py.,Derived acquisition channel: Subscription | Marketplace | Direct/Organic | Paid Social | Email | Affiliate | Paid Search.
product_category,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Line: Product Handle (derived),text,classify_product() keyword map in 00_config.py.,Derived product family — not a product-master join.
has_discount,BOOL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Total Discount (derived),decimal,total_discount > 0.,Derived flag for discounted orders.
is_subscription,BOOL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Tags (derived),text (comma-list),Tags contains subscription|yotpo subscriptions (case-insensitive).,Shopify-trackable subscription orders only.
is_first_order_tag,BOOL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Tags (derived),text (comma-list),Tags contains FIRST_ORDER.,Tag-based first-order indicator from Shopify.
total_revenue,DECIMAL,,orders.parquet (derived),Price: Total,decimal,SUM(Price: Total) GROUP BY customer_id.,Customer LTV definition used in finals analysis.
is_repeat,BOOL,,customers.parquet (derived),order count (derived),bool,total_orders >= 2.,Repeat customer flag.
ever_subscribed,BOOL,,customers.parquet (derived),is_subscription (derived),bool,ANY(is_subscription) GROUP BY customer_id.,Ever had a Shopify subscription order.
first_channel,STRING (cat),,customers.parquet (derived),channel (derived),text,FIRST channel by order_date per customer.,Acquisition channel for LTV-by-channel analysis.
cohort_month,PERIOD,,customers.parquet (derived),first_order_date (derived),period,first_order_date.to_period(M).,Monthly acquisition cohort key.
